Product_id,Product_Name,Category,Price,Image_link,Product_link
49,Dune EX-NK-3208,urbansole-footwear,"Current price

Rs.15,999",https://www.urbansole.com.pk/cdn/shop/files/EX-NK-3208D-Grey_700x700.jpg?v=1704716810,https://www.urbansole.com.pk/collections/urbansole-footwear/products/ex-nk-3208
50,Rush EX-NK-3207,urbansole-footwear,"Current price

Rs.15,999",https://www.urbansole.com.pk/cdn/shop/files/EX-NK-3207Lt-Grey_700x700.jpg?v=1704717209,https://www.urbansole.com.pk/collections/urbansole-footwear/products/ex-nk-3207
51,Pulse EX-NK-3206,urbansole-footwear,"Current price

Rs.14,399",https://www.urbansole.com.pk/cdn/shop/files/EX-NK-3206Black_700x700.jpg?v=1704716914,https://www.urbansole.com.pk/collections/urbansole-footwear/products/ex-nk-3206
52,SNEAKER EX-NK-3205,urbansole-footwear,"Current price

Rs.15,999",https://www.urbansole.com.pk/cdn/shop/files/EX-NK-3205Grey_703x700.jpg?v=1704717074,https://www.urbansole.com.pk/collections/urbansole-footwear/products/ex-nk-3205
53,SNEAKER EX-NK-3204,urbansole-footwear,"Current price

Rs.14,799",https://www.urbansole.com.pk/cdn/shop/files/EX-NK-3204Grey_700x700.jpg?v=1704717138,https://www.urbansole.com.pk/collections/urbansole-footwear/products/ex-nk-3204
54,SNEAKER EX-NK-3203,urbansole-footwear,"Current price

Rs.15,599",https://www.urbansole.com.pk/cdn/shop/files/EX-NK-3203Black_700x700.jpg?v=1704718341,https://www.urbansole.com.pk/collections/urbansole-footwear/products/ex-nk-3203
55,SNEAKER EX-NK-3202,urbansole-footwear,"Current price

Rs.15,599",https://www.urbansole.com.pk/cdn/shop/files/EX-NK-3202Black_700x700.jpg?v=1704718392,https://www.urbansole.com.pk/collections/urbansole-footwear/products/ex-nk-3202
56,Raptor EX-NK-3201,urbansole-footwear,"Current price

Rs.15,199",https://www.urbansole.com.pk/cdn/shop/files/EX-NK-3201Grey_700x700.jpg?v=1704718445,https://www.urbansole.com.pk/collections/urbansole-footwear/products/ex-nk-3201
57,Mayor US-TM-3303,urbansole-footwear,"Rs.9,999",https://www.urbansole.com.pk/cdn/shop/files/US-TM-3303Black_700x700.jpg?v=1705202891,https://www.urbansole.com.pk/collections/urbansole-footwear/products/us-tm-3303
58,FORMAL SHOE US-PM-3302,urbansole-footwear,"Current price

Rs.4,199",https://www.urbansole.com.pk/cdn/shop/files/US-PM-3302Black_700x700.jpg?v=1705404195,https://www.urbansole.com.pk/collections/urbansole-footwear/products/us-pm-3302
59,Pulse US-EX-3210,urbansole-footwear,"Current price

Rs.9,799",https://www.urbansole.com.pk/cdn/shop/files/US-EX-3210Grey_700x700.jpg?v=1704718588,https://www.urbansole.com.pk/collections/urbansole-footwear/products/us-ex-3210
